USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
749257,99999,TINGRING,BM,,,25.8,96.65,187.0,19440602,19450910
749258,99999,SAHMAW,BM,,,25.233,96.783,179.0,19441031,19450430
749321,99999,YANG-CHIEH,CH,,,25.5,103.083,1955.0,19430217,19451031
749322,99999,YUN-NAN-I,CH,,,25.417,100.733,1967.0,19430108,19451018
749323,99999,XIQIAO,CH,,,25.0,103.583,1849.0,19440630,19451113
749336,99999,CHING-SHUI-PU NORTH,CH,,,30.25,104.033,481.0,19431231,19461031
749338,99999,AO-CHIA-CHANG NORTH,CH,,,31.117,104.0,500.0,19450131,19450831
749339,99999,QIONGLAI NORTHEAST,CH,,,30.45,103.533,539.0,19450131,19450228
749344,99999,LANCHOW CHINA,CH,,RLHW,36.0,103.75,1543.0,19451031,19461231
749345,99999,HUA-CHIAO SOUTHEAST,CH,,,30.417,103.917,486.0,19460430,19460831
